:START_ID(Reach),:END_ID(Reach),:Type
170501040905,170501041001,Downstream
170501041001,170501041003,Downstream
170501041002,170501041004,Downstream
170501041003,170501041004,Downstream
170501041004,170501041205,Downstream
170501041101,170501041103,Downstream
170501041102,170501041103,Downstream
170501041103,170501041702,Downstream
170501041201,170501041202,Downstream
170501041202,170501041204,Downstream
170501041203,170501041204,Downstream
170501041204,170501041205,Downstream
170501041205,170501041702,Downstream
170501041301,170501041302,Downstream
170501041302,170501041305,Downstream
170501041303,170501041305,Downstream
170501041304,170501041305,Downstream
170501041305,170501041602,Downstream
170501041401,170501041403,Downstream
170501041402,170501041403,Downstream
170501041403,170501041602,Downstream
170501041501,170501041502,Downstream
170501041502,170501041605,Downstream
170501240501,170501240503,Downstream
170501240502,170501240503,Downstream
170501240503,170501240607,Downstream
170501240802,170501240803,Downstream
170501240803,170501240805,Downstream
170501240804,170501240805,Downstream
170501240805,170501240806,Downstream
170501240806,170501241102,Downstream
170501240908,170501241102,Downstream
170501241001,170501241002,Downstream
170501241002,170501241003,Downstream
170501241003,170501241104,Downstream
170501241101,170501241104,Downstream
170501241102,170501241104,Downstream
170501241103,170501241104,Downstream
170501241104,170502010106,Downstream
170502010102,170502010106,Downstream
170502010103,170502010106,Downstream
170502010104,170502010106,Downstream
170502010105,170502010106,Downstream
170502010302,170502010303,Downstream
170502010305,170502010307,Downstream
170502010402,170502010403,Downstream
170501090305,170501090307,Downstream
170501090306,170501090307,Downstream
170501090307,170501090506,Downstream
170501090401,170501090403,Downstream
170501090402,170501090403,Downstream
170501090403,170501090407,Downstream
170501090404,170501090407,Downstream
170501090405,170501090407,Downstream
170501090406,170501090407,Downstream
170501090407,170501090507,Downstream
170501090501,170501090506,Downstream
170501090502,170501090505,Downstream
170501090503,170501090505,Downstream
170501090504,170501090505,Downstream
170501090505,170501090506,Downstream
170501090506,170501090507,Downstream
170501090507,170501100103,Downstream
170501100403,170501100405,Downstream
170501100404,170501100405,Downstream
170501100405,170501100407,Downstream
170501100406,170501100407,Downstream
170501100407,170501100503,Downstream
170501100501,170501100502,Downstream
170501100502,170501100504,Downstream
170501100503,170501100504,Downstream
170501100504,170501100505,Downstream
170501100505,170501100507,Downstream
170501100506,170501100507,Downstream
170501100507,170501100701,Downstream
170501100601,170501100602,Downstream
170501100602,170501100604,Downstream
170501100603,170501100604,Downstream
170501100604,170501100606,Downstream
170501100605,170501100606,Downstream
170501100606,170501100608,Downstream
170501100607,170501100608,Downstream
170501100608,170501100701,Downstream
170501100701,170501100702,Downstream
170501100702,170501100704,Downstream
170501100703,170501100704,Downstream
170501100704,170501100706,Downstream
170501100706,170501031103,Downstream
170501100705,170501100706,Downstream
170501150101,170501150102,Downstream
170501150201,170501150204,Downstream
170501150203,170501150204,Downstream
170501160101,170501160103,Downstream
170501160102,170501160103,Downstream
170501160103,170501160105,Downstream
170501160104,170501160105,Downstream
170501160105,170501160107,Downstream
170501160106,170501160107,Downstream
170501160107,170501160502,Downstream
170501160704,170501160705,Downstream
