HUC_ID,name
170501100607,Acton Gulch
170501100608,Cherry Creek-Owyhee River
170501100701,Indian Creek-Owyhee River
170501100702,Tunnel Canyon-Owyhee River
170501100703,Sand Hollow Creek
170501100704,Rock Spring Canyon-Owyhee River
170501100706,Fletcher Gulch-Owyhee River
170501100705,Cow Hollow
170501150101,Locket Gulch
170501150201,Jacobsen Gulch
170501150203,Coyote Gulch
170501160101,Big Creek
170501160102,Lake Creek
170501160103,Bosonberg Creek-Malheur River
170501160104,Summit Creek
170501160105,Cliff Creek-Malheur River
170501160106,Bluebucket Creek
170501160107,Coyote Creek-Malheur River
170501160704,Big Boulder Reservoir-Warm Springs Creek
170501160705,Winnemucca Creek-Malheur River
170501160801,Standcliff Creek
170501160802,Camp Creek
170501160803,Indian Creek
170501160804,South Fork Reservoir-South Fork Malheur River
170501160805,Deadman Creek
170501160806,Pole Creek-South Fork Malheur River
170501160901,Upper Crane Creek
170501160902,Beaver Creek
170501160903,Little Crane Creek
170501160904,Lower Crane Creek
170501161001,Swamp Creek
170501161002,Rock Spring-South Fork Malheur River
170501161003,Coleman Creek
170501161004,McEwen Creek-South Fork Malheur River
170501161005,Upper Granite Creek
170501161006,Star Creek
170501041601,Castle Creek
170501041602,Cowboy Creek-Deep Creek
170501041603,Beaver Creek
170501041604,Deep Creek Spring-Deep Creek
170501041605,White Cow Basin-Deep Creek
170501041701,Porcupine Creek
170501041702,Cherry Gulch-Owyhee River
170501041703,Petes Creek
170501041704,Red Canyon
170501041705,Chilly Gulch-Owyhee River
170501050905,Coyote Hole-South Fork Owyhee River
170501050906,Coyote Hole Reservoir
170501050908,South Fork Owyhee River
170501060605,Walcott Basin-Little Owyhee River
170501070401,Pleasant Valley Creek
170501070402,Juniper Creek
170501080101,Upper Rock Creek
170501080102,Meadow Creek
170501080103,Middle Rock Creek
170501080104,Josephine Creek
170501080105,Lower Rock Creek
170501080201,Upper North Boulder Creek
170501080202,Lower North Boulder Creek
170501080203,Upper South Boulder Creek
170501080204,Lower South Boulder Creek
170501080205,Deer Creek-Big Boulder Creek
170501080301,Presby Creek-Jordan Creek
170501080302,Louse Creek
170501080303,Flint Creek-Jordan Creek
170501080401,Rail Creek-Jordan Creek
170501080402,Williams Creek
170502010505,Lower Wildhorse River
170501020701,Meadow Creek-Marys Creek
170501040303,Skull Creek
170501040604,Boyle Creek-Blue Creek
170501040701,Thacker Slough-Owyhee River
170501040702,Billy Slaw Slough
170501040705,Duck Valley-Owyhee River
170501040801,Upper Juniper Creek
170501050602,Middle Sheep Creek
170501050901,East Horse Basin Reservoir
170501050902,Little Horse Basin Reservoir
170501050903,Rubber Lake-South Fork Owyhee River
170501050904,Bull Camp Reservoir
170501060604,Star Valley-Little Owyhee River
170501060405,Lower Willow Creek
170501030802,Coal Mine Basin Creek-Succor Creek
170501030803,Dry Creek
170501030804,McBride Creek
170501030805,Deadman Gulch-Succor Creek
170501030903,Pole Creek-Succor Creek
170501030906,Sage Creek
170501030907,South Alkali Creek-Succor Creek
170501031001,Upper Jump Creek
170501031002,Middle Jump Creek
170501031102,Golden Gate Canal-Snake River
170501031103,South Boise Drain-Snake River
170501050907,Spring Creek
170501160201,Middle Fork Wolf Creek
170501160202,East Fork Wolf Creek
170501160203,Squaw Creek-Wolf Creek
170501160204,Calamity Creek
170501160205,Duck Creek-Wolf Creek
170501160301,Upper Pine Creek
170501160302,Middle Pine Creek
170501160303,Lower Pine Creek
170501160401,Upper Stinkingwater Creek
170501160402,Little Stinkingwater Creek
170501160403,Middle Stinkingwater Creek
170501160404,Lower Stinkingwater Creek
170501160501,Miller Reservoir
170501160502,Muddy Creek-Malheur River
170501160503,Griffin Creek
170501160504,Mule Creek-Malheur River
170501160601,Tamarack Creek
170501160602,Cottonwood Reservoir
170501160603,Upper Otis Creek
170501160604,Lower Otis Creek
170501160701,Cottonwood Creek-Malheur River
170501160702,Upton Mountain-Malheur River
170501160703,Gold Gulch-Malheur River
170501161007,Lower Granite Creek
170501161008,South Fork Malheur River
170501161101,Swamp Creek-North Fork Malheur River
170501161102,Elk Creek-North Fork Malheur River
170501161103,Crane Creek
170501161104,Bear Creek
170501161105,Skagway Creek-North Fork Malheur River
170501161201,Upper Little Malheur River
170501161202,Bridge Creek
170501161203,Lost Creek
170501161204,Lower Little Malheur River
170501161301,Bendire Creek
170501161302,Warm Springs Creek
170501161303,Spring Creek-North Fork Malheur River
170501161304,Kingsbury Gulch
170501161305,Currey Canyon-North Fork Malheur River
170501161401,Juniper Canyon-Malheur River
170501161402,Juniper Basin Creek
170501161403,Basque Canyon-Malheur River
170501180104,West Fork Cottonwood Creek-Cottonwood Creek
170501180105,Cottonwood Creek
170501180106,North Fork Bully Creek-Bully Creek
170501180201,Upper Clover Creek
170501180202,North Clover Creek
170501180203,Middle Clover Creek
170501180204,Lower Clover Creek
170501180301,Dry Creek
170501180302,Washington Creek-Bully Creek
170501180303,Swede Flat Creek-Cottonwood Creek
170501180304,Bully Creek
170501190101,North Willow Creek
170501190102,South Willow Creek
170501190201,Johnson Boulder Creek-Willow Creek
170501190202,Lost Valley Creek
170501190203,Alder Creek-Willow Creek
170501190204,Jeff Davis Creek-Willow Creek
170501190301,Upper Cow Creek
170501190302,Lower Cow Creek
170501190401,Basin Creek-Willow Creek
170501190402,Becker Creek-Willow Creek
170501190403,Phipps Creek-Willow Creek
170501190404,Poison Creek-Willow Creek
170501190501,Dry Gulch
170501190502,Alkali Gulch
170501190601,Little Willow Creek-Willow Creek
170501190602,Kern Creek-Willow Creek
170501190603,Willow Creek
170502010101,Moores Hollow
170502010202,Upper Birch Creek
170502010203,Love Reservoir
170502010204,Lower Birch Creek
170502010601,Headwaters Pine Creek
170502010602,McMullen Slough
170502010603,Clear Creek
170502010604,Deer Creek-Pine Creek
170502010605,East Pine Creek
170502010606,Fish Creek-Pine Creek
170502010607,Upper North Pine Creek
170502010608,Lake Fork Creek
170502010609,Lower North Pine Creek
170502010610,Sheep Creek-Pine Creek
170502020101,Headwaters North Fork Burnt River
170502020102,Camp Creek
170502020103,Patrick Creek-North Fork Burnt River
170502020104,Trout Creek
170502020105,Petticoat Creek-North Fork Burnt River
170502020106,West Fork Burnt River
170502020107,Middle Fork Burnt River
170502020108,Antelope Creek-North Fork Burnt River
170502020201,Upper South Fork Burnt River
170502020202,Middle South Fork Burnt River
170502020203,Lower South Fork Burnt River
170502020204,Job Creek-Burnt River
170502020301,West Camp Creek
170502020302,East Camp Creek
170502020303,Higgins Reservoir-Camp Creek
170502020401,Pine Creek-Burnt River
170502020402,Rock Creek-Burnt River
170502020403,Upper Big Creek
170502020404,Lower Big Creek
170502020405,Independence Creek-Burnt River
170502020501,Mill Creek-Burnt River
170502020502,Clarks Creek
170502020503,Auburn Creek-Burnt River
170502020601,Dark Canyon-Burnt River
170502020602,Cave Creek-Burnt River
170501080601,Jackson Creek-Cow Creek
170501060503,Defeat Butte
170501060504,Lower Tent Creek
170501070102,Mustang Lake
170501070301,Upper Middle Fork Owyhee River
170501070302,Pole Creek
170501070403,Upper North Fork Owyhee River
170501070404,Squaw Creek
170501070405,Cherry Creek
170501070406,Lower North Fork Owyhee River
170501070501,Dukes Creek-Owyhee River
170501070502,Oregon Lake Creek
170501070503,Bull Creek-Owyhee River
170501070601,Upper Soldier Creek
170501080403,Lone Tree Creek
170501080404,Trout Creek
170501080405,Glass Gulch-Jordan Creek
170501080501,Baxter Creek-Jordan Creek
170501080503,Hooker Creek
