FID_Tribal,HUC12
22,170701060203
22,170701060204
22,170701060205
22,170701060206
22,170701060207
22,170701060208
22,170701060209
22,170701060210
22,170701060301
22,170701060302
22,170701060303
22,170701060304
22,170701060305
22,170701060306
22,170701060307
22,170701060401
22,170701060402
22,170701060403
22,170701060404
22,170701060405
22,170701060406
22,170701060407
22,170701060408
22,170701060409
22,170800040303
22,170800040305
22,170800020110
22,170800020109
22,170800020107
22,170800020108
22,170800020102
22,170800020104
22,170800020106
22,170800020103
22,170800020101
22,170800020105
22,170601080703
22,170601080704
22,170601080705
22,170601080706
22,170601090407
22,170601090408
22,170200090108
22,170200090111
22,170200090201
22,170200090202
22,170200090203
22,170200090204
22,170200090206
22,170200090207
22,170200090209
22,170200090210
22,170200090301
22,170200090302
22,170200090303
22,170200090304
22,170200090305
22,170200100101
22,170200100102
22,170200100103
22,170200100201
22,170200100202
22,170200100203
22,170200100204
22,170200100205
22,170200100206
22,170200100207
22,170200100208
22,170200100209
22,170200100301
22,170200100302
22,170200100303
22,170200100304
22,170200100305
22,170200100306
22,170200100307
22,170200100308
22,170200100309
22,170200100310
22,170200100311
22,170200100312
22,170200100313
22,170200100401
22,170200100402
22,170200100403
22,170200100404
22,170200100405
22,170200100406
22,170200100407
22,170200100408
22,170200100409
22,170200100501
22,170200100502
22,170200100503
22,170200100504
22,170200100505
22,170200100506
22,170200100507
22,170200110101
22,170200110102
22,170200110103
22,170200110104
22,170200110105
22,170200110106
22,170200110107
22,170200160502
22,170300010101
22,170300010102
22,170300010103
22,170300010104
22,170300010105
22,170300010106
22,170300010201
22,170300010202
22,170300010203
22,170300010204
22,170300010205
22,170300010301
22,170300010302
22,170300010303
22,170300010304
22,170300010305
22,170300010306
22,170300010307
22,170300010401
22,170300010402
22,170300010403
22,170300010404
22,170300010405
22,170300010406
22,170300010407
22,170300010408
22,170300010409
22,170300010501
22,170300010502
22,170300010503
22,170300010504
22,170300010505
22,170300010506
22,170300010507
22,170300010508
22,170300010509
22,170300010510
22,170300010511
22,170300010601
22,170300010602
22,170300010603
22,170300010604
22,170300010605
22,170300010701
22,170300010702
22,170300010703
22,170300010704
22,170300010705
22,170300010706
22,170300010707
22,170300010708
22,170300010709
22,170300020101
22,170300020102
22,170300020103
22,170300020104
22,170300020105
22,170300020106
22,170300020107
22,170300020108
22,170300020109
22,170300020201
22,170300020202
22,170200110108
22,170200110109
22,170200110110
22,170200110111
22,170200110201
22,170200110202
22,170200110203
22,170200110301
22,170200110302
22,170200110303
22,170200110304
22,170200110305
22,170200110306
22,170200110307
22,170200110308
22,170200110401
22,170200110402
22,170200110403
22,170200110404
22,170200110405
22,170200110406
22,170200110501
22,170200110502
22,170200110503
22,170200110601
22,170200110602
22,170200110603
22,170200110604
22,170200110701
22,170200110702
22,170200110703
22,170200110704
22,170200110705
22,170200110706
22,170200110707
22,170200110708
22,170200120101
22,170200120102
22,170200120103
22,170200120104
22,170200120106
22,170200120105
22,170200120107
22,170200120108
22,170200120109
22,170200120201
22,170200120202
22,170200120203
22,170200120204
22,170200120205
22,170200120301
22,170200120302
22,170200120303
22,170200120304
22,170300020203
22,170300020204
22,170300020205
22,170300020206
22,170300020207
22,170300020208
22,170300020301
22,170300020302
22,170300020303
22,170300020304
22,170300020305
22,170300020306
22,170300020307
