SPECIES,HUC12,FREQUENCY,Habitat_Miles
Brook trout,170102050204,26,21
Brook trout,170102050301,9,13
Brook trout,170102050302,1,1
Brook trout,170102050303,10,11
Brook trout,170102050304,4,9
Brook trout,170102050305,11,16
Brook trout,170102050402,5,6
Brook trout,170102050403,9,14
Brook trout,170102050404,5,4
Brook trout,170102050405,16,14
Brook trout,170102050501,5,5
Brook trout,170102050502,16,24
Brook trout,170102050503,16,24
Brook trout,170102050504,11,18
Brook trout,170102050505,5,6
Brook trout,170102050506,17,23
Brook trout,170102050601,7,12
Brook trout,170102050602,10,6
Brook trout,170102050701,1,1
Brook trout,170102050702,3,1
Brook trout,170102050703,5,4
Brook trout,170102050704,7,9
Brook trout,170102050705,11,9
Brook trout,170102050801,7,11
Brook trout,170102050802,16,15
Brook trout,170102050803,10,9
Brook trout,170102050804,11,16
Brook trout,170102050805,1,4
Brook trout,170102050806,5,10
Brook trout,170102050807,16,34
Brook trout,170102050902,5,4
Brook trout,170102050903,4,6
Brook trout,170102050904,14,9
Brook trout,170102051001,8,15
Brook trout,170102051002,10,19
Brook trout,170102051003,9,6
Brook trout,170102051004,3,5
Brook trout,170102051005,4,8
Brook trout,170102051006,8,13
Brook trout,170102051007,8,16
Brook trout,170102051101,6,7
Brook trout,170102051102,10,11
Brook trout,170102051103,8,16
Brook trout,170102051104,8,6
Brook trout,170102051105,10,16
Brook trout,170102051201,9,12
Brook trout,170102051203,3,8
Brook trout,170102051301,5,13
Brook trout,170102051302,7,11
Brook trout,170102051303,3,1
Brook trout,170102051304,6,12
Brook trout,170102051305,12,17
Brook trout,170102051401,10,10
Brook trout,170102051402,13,12
Brook trout,170102051403,9,11
Brook trout,170102051404,12,11
Brook trout,170102051405,15,14
Brook trout,170102051406,7,9
Brook trout,170102051407,7,5
Brook trout,170102051408,18,25
Brook trout,170102051409,6,19
Brook trout,170102051501,5,5
Brook trout,170102051502,2,7
Brook trout,170102051503,14,14
Brook trout,170102051504,7,6
